Verb,proper_ink,name,tags,link,controller,action,description,parameters,domain,employee_id
GET,corporateorder/list,corporateorder,corporateorder list    ,corporateorder/list,corporateorder,list,This page you can reach information about corporateorder You can also complete the tasks of corporateorder list     ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,corporateorder/new,corporateorder,corporateorder new    ,corporateorder/new,corporateorder,new,This page you can reach information about corporateorder You can also complete the tasks of corporateorder new     ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,corporateorder/create,corporateorder,corporateorder create    ,corporateorder/create,corporateorder,create,This page you can reach information about corporateorder You can also complete the tasks of corporateorder create     ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,corporateorder/products,corporateorder,corporateorder products    ,corporateorder/products,corporateorder,products,This page you can reach information about corporateorder You can also complete the tasks of corporateorder products     ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,corporateorder/payment,corporateorder,corporateorder payment    ,corporateorder/payment,corporateorder,payment,This page you can reach information about corporateorder You can also complete the tasks of corporateorder payment     ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,corporateorder/review,corporateorder,corporateorder review    ,corporateorder/review,corporateorder,review,This page you can reach information about corporateorder You can also complete the tasks of corporateorder review     ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,corporateorder/process,corporateorder,corporateorder process    ,corporateorder/process,corporateorder,process,This page you can reach information about corporateorder You can also complete the tasks of corporateorder process     ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,b_prodmaster/list,b_prodmaster,b prodmaster list   ,b_prodmaster/list,b_prodmaster,list,This page you can reach information about b_prodmaster You can also complete the tasks of b prodmaster list    ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,b_prodmaster/search,b_prodmaster,b prodmaster search   ,b_prodmaster/search,b_prodmaster,search,This page you can reach information about b_prodmaster You can also complete the tasks of b prodmaster search    ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,b_prodmaster/details,b_prodmaster,b prodmaster details   ,b_prodmaster/details,b_prodmaster,details,This page you can reach information about b_prodmaster You can also complete the tasks of b prodmaster details    ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,bprodmaster,bprodmaster,bprodmaster     ,bprodmaster,b_prodmaster,list,This page you can reach information about bprodmaster You can also complete the tasks of bprodmaster      ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,duplicate_playlist,duplicate_playlist,duplicate playlist    ,duplicate_playlist,campaign_playlists,duplicate,This page you can reach information about duplicate_playlist You can also complete the tasks of duplicate playlist     ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
POST,create_duplicate_playlist,create_duplicate_playlist,create duplicate playlist   ,create_duplicate_playlist Method = POST,campaign_playlists,create_duplicate,"This page you can reach information about create_duplicate_playlist You can also complete the tasks of create duplicate playlist    ::  XXX You cannot click on any link and reach this page, you have to search for other relevant pages and system would reach this page internally and complete the task. The page helps you complete the task of updation / creation and deletion if you are authorised and such an act is permitted! XXX","Add from browser header, this can change based on what user was doing",3.0.3.57,10100
POST,create_new_quick_playlist,create_new_quick_playlist,create new quick playlist  ,create_new_quick_playlist Method = POST,campaign_playlists,quick_create,"This page you can reach information about create_new_quick_playlist You can also complete the tasks of create new quick playlist   ::  XXX You cannot click on any link and reach this page, you have to search for other relevant pages and system would reach this page internally and complete the task. The page helps you complete the task of updation / creation and deletion if you are authorised and such an act is permitted! XXX","Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,product_upsell/list,product_upsell,product upsell list   ,product_upsell/list,product_upsell,list,This page you can reach information about product_upsell You can also complete the tasks of product upsell list    ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,product_upsell/search,product_upsell,product upsell search   ,product_upsell/search,product_upsell,search,This page you can reach information about product_upsell You can also complete the tasks of product upsell search    ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,product_upsell/details,product_upsell,product upsell details   ,product_upsell/details,product_upsell,details,This page you can reach information about product_upsell You can also complete the tasks of product upsell details    ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,product_upsell,product_upsell,product upsell    ,product_upsell,product_upsell,details,This page you can reach information about product_upsell You can also complete the tasks of product upsell     ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,productupsell,productupsell,productupsell     ,productupsell,product_upsell,list,This page you can reach information about productupsell You can also complete the tasks of productupsell      ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,productreport,productreport,productreport     ,productreport,product_report,list,This page you can reach information about productreport You can also complete the tasks of productreport      ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,product_report/search,product_report,product report search   ,product_report/search,product_report,search,This page you can reach information about product_report You can also complete the tasks of product report search    ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,productdetails,productdetails,productdetails     ,productdetails,product_report,details,This page you can reach information about productdetails You can also complete the tasks of productdetails      ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,showproductstock,showproductstock,showproductstock     ,showproductstock,product_stocks,showfordate,This page you can reach information about showproductstock You can also complete the tasks of showproductstock      ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
